key	section	english	odia
audience.carousel.2.body	Audience	Email, stand-ups, clients, and calls—scenarios that match real deadlines, not textbook dialogues.	ଇ-ମେଲ, ଷ୍ଟାଣ୍ଡ-ଅପ, ଗ୍ରାହକ ଓ କଲ୍—ପାଠ୍ୟ ସଂଳାପ ନୁହେଁ, ଆସଲ ଡେଡଲାଇନ୍ ଅନୁଯାୟୀ ଦୃଶ୍ୟ।
audience.carousel.2.title	Audience	IT & corporate professionals	IT ଓ କର୍ପୋରେଟ ବୃତ୍ତିଧାରୀ
audience.carousel.3.body	Audience	Supplier talk, billing, SMS, and customer-facing English—short lessons you can use the same day at work.	ଯୋଗାଣ, ବିଲ୍, ଏସଏମଏସ୍, ଗ୍ରାହକ ସହ ଇଂରାଜୀ—ଛୋଟ ପାଠ ଯାହା ସେହି ଦିନ କାମରେ ଲାଗେ।
audience.carousel.3.title	Audience	Small business & shop owners	ଛୋଟ ବ୍ୟବସାୟ ଓ ଦୋକାନ
audience.carousel.4.body	Audience	Clear, respectful phrasing under pressure—patients, guests, and teams; we keep it practical and human.	ଚାପ ତଳେ ସ୍ପଷ୍ଟ ସମ୍ମାନଜନକ ବାକ୍ୟ—ରୋଗୀ, ଅତିଥି, ଟିମ୍; ବ୍ୟବହାରିକ ଓ ମାନବୀୟ।
audience.carousel.4.title	Audience	Healthcare, hospitality & frontline	ସ୍ୱାସ୍ଥ୍ୟ, ଅତିଥି ସେବା ଓ ଫ୍ରଣ୍ଟଲାଇନ୍
audience.carousel.5.body	Audience	Confidence after a break—flexible minutes between chores; no shame, no rush, steady progress.	ବିରତି ପରେ ଆତ୍ମବିଶ୍ୱାସ—କାମ ମଧ୍ୟରେ ନିଅ ଯିବା ଯୋଗ୍ୟ ସମୟ; ଲଜ୍ଜା ନାହିଁ, ଧୀରେ ପ୍ରଗତି।
audience.carousel.5.title	Audience	Homemakers & returning learners	ଘର ସମ୍ଭାଳିବା ଓ ପୁନଃ ଆରମ୍ଭ
audience.carousel.6.body	Audience	If English felt “not for us,” we disagree—start in Odia, grow into English at a pace that respects your context.	ଇଂରାଜୀ ‘ଆମ ପାଇଁ ନୁହେଁ’ ଲାଗିଲେ ମଧ୍ୟ ଆମେ କୁହୁ—ଓଡ଼ିଆରୁ ଆରମ୍ଭ, ଆପଣଙ୍କ ପରିସ୍ଥିତିକୁ ସମ୍ମାନ ଦେଇ ଇଂରାଜୀ ବଢ଼ନ୍ତୁ।
audience.carousel.6.title	Audience	Rural & first-gen English learners	ଗ୍ରାମୀଣ ଓ ପ୍ରଥମ ପିଢ଼ି ଇଂରାଜୀ
audience.carousel.7.body	Audience	Travel, family abroad, reading, or simply the joy of learning—gentle paths without competitive pressure.	ଭ୍ରମଣ, ବିଦେଶରେ ପରିବାର, ପଢ଼ିବା କି ଶିଖିବାର ଆନନ୍ଦ—ପ୍ରତିଯୋଗୀ ଚାପ ବିନା ନରମ ପଥ।
audience.carousel.7.title	Audience	Retirees & lifelong learners	ଅବସର ଓ ଜୀବନସ୍ଥାୟୀ ଶିଖ୍ୟାର୍ଥୀ
audience.carouselAria	Audience	Who E-talk is for—scroll through learner types	କାହାଙ୍କ ପାଇଁ ଇ-ଟକ୍—ଶିଖ୍ୟାର୍ଥୀ ପ୍ରକାର ବ୍ରାଉଜ୍ କରନ୍ତୁ
audience.carouselHint	Audience	Swipe the row or use the arrows.	ଧସା କରି ବା ତୀର ବଟନ ବ୍ୟବହାର କରନ୍ତୁ।
audience.carouselNext	Audience	Next learner card	ପର କାର୍ଡ
audience.carouselPrev	Audience	Previous learner card	ପୂର୍ବ କାର୍ଡ
audience.heading	Audience	Built for your schedule—not a one-size course	ଆପଣଙ୍କ ସମୟ ଅନୁଯାୟୀ—ଏକ ସାଧାରଣ ପ୍ୟାକେଜ ନୁହେଁ
audience.heritageCaption	Audience	Heritage, not hype—language as dignity and leverage	ପୁରୁଣା ଗରିମା—ଭାଷା ହେଉଛି ମର୍ଯ୍ୟାଦା ଓ ସୁଯୋଗ
audience.heritageQuote	Audience	Our forebears like Madhu Babu (Madhusudan Das) used English to stand before British courts and councils—not with violence, but with law, debate, and the force of words. Without that language, the same fight could not have been waged the same way. Today, English still opens rooms; E-talk helps every kind of learner walk in with confidence.	ମଧୁ ବାବୁ (ମଧୁସୂଦନ ଦାସ) ଭଳି ପୂର୍ବଜମାନେ ବ୍ରିଟିଶ୍ ଅଦାଲତ ଓ ପରିଷଦରେ ଇଂରାଜୀରେ ଛିଡ଼ା ହୋଇଥିଲେ—ହିଂସା ନୁହେଁ, ଆଇନ, ବିତର୍କ ଓ ବାକ୍ୟର ଶକ୍ତି ଦ୍ୱାରା। ସେ ଭାଷା ବିନା ସେ ଲଢ଼େଇ ସେହି ଭାବେ ହୋଇ ପାରିନଥାନ୍ତା। ଆଜି ମଧ୍ୟ ଇଂରାଜୀ ଦ୍ୱାର ଖୋଲେ; ଇ-ଟକ୍ ପ୍ରତ୍ୟେକ ପ୍ରକାର ଶିଖ୍ୟାର୍ଥୀଙ୍କୁ ଆତ୍ମବିଶ୍ୱାସରେ ଭିତରକୁ ଯିବାକୁ ସାହାଯ୍ୟ କରେ।
audience.subhead	Audience	Students, professionals, shopkeepers, caregivers, farmers, first-time English learners—whoever you are, we want you here. E-talk meets you where you are.	ଛାତ୍ର, ବୃତ୍ତିଧାରୀ, ଦୋକାନି, ଘର ସମ୍ଭାଳିବା, ଚାଷୀ, ପ୍ରଥମ ଥର ଇଂରାଜୀ ଶିଖୁଥିବା—ଯିଏ ହେଉନ୍ତୁ ଆମେ ଚାହୁଁ ଆପଣ ଶିଖନ୍ତୁ। ଇ-ଟକ୍ ଆପଣଙ୍କ ସ୍ତରରୁ ଆରମ୍ଭ କରେ।
cta.body	Waitlist CTA	Email us to join the waitlist or ask a question—we read every message.	ପ୍ରତୀକ୍ଷା ତାଲିକା କି ପ୍ରଶ୍ନ ପାଇଁ ଆମକୁ ଇ-ମେଲ କରନ୍ତୁ—ଆମେ ପଢ଼ୁ।
cta.heading	Waitlist CTA	Be first when E-talk launches	ଇ-ଟକ୍ ଲଞ୍ଚ ହେଲାବେଳେ ପ୍ରଥମ ଜାଣନ୍ତୁ
cta.note	Waitlist CTA	Opens your email app with our address and a short template. You can edit before sending.	ଆପଣଙ୍କ ଇ-ମେଲ ଆପ୍ ଖୋଲିବ ଓ ଠିକଣା ଭରି ଦେବ। ପଠାଇବା ପୂର୍ବେ ବଦଳାଇ ପାରିବେ।
cta.submitBtn	Waitlist CTA	Email to join waitlist	ଇ-ମେଲରେ ଯୋଗ ଦିଅନ୍ତୁ
faq.heading	FAQ	Frequently asked questions	ସାଧାରଣ ପ୍ରଶ୍ନ
faq.items.0.a	FAQ	No. Paths start from your level and ramp up as you improve—whether you are in school or at work.	ନା। ଆପଣ ଯେଉଁ ସ୍ତରରେ ଅଛନ୍ତି ସେଠାରୁ ଆରମ୍ଭ, ବିଦ୍ୟାଳୟ ବା କର୍ମ ଯେଉଁ ଦ୍ୱାରରୁ ହୋଇଥାଉ।
faq.items.0.q	FAQ	Do I need strong English to start?	ଆରମ୍ଭ ପାଇଁ ଶକ୍ତ ଇଂରାଜୀ ଦରକାର?
faq.items.1.a	FAQ	Practice targets real English use. Explanations and guidance are Odia-friendly so you are never left guessing what a phrase means.	ଅଭ୍ୟାସ ଆସଲ ଇଂରାଜୀ ଉପରେ। ବ୍ୟାଖ୍ୟା ଓ ନିର୍ଦ୍ଦେଶ ଓଡ଼ିଆ-ସହାୟ ଯାଗ ଆପଣ ଅର୍ଥ ଅନୁମାନ ନ କରୁ।
faq.items.1.q	FAQ	Is everything only in English?	ସବୁ ଇଂରାଜୀରେ?
faq.items.2.a	FAQ	You will get launch updates by email. We will not spam you; you can unsubscribe any time.	ଲଞ୍ଚ ଅଦ୍ୟତନ ଇ-ମେଲ ଦ୍ୱାରା ପ୍ରାପ୍ତ ହେବ। ଯେ କୌଣସି ସମୟ ଗ୍ରହଣ ବନ୍ଦ କରିହେବ।
faq.items.2.q	FAQ	What happens after I join the waitlist?	ଯୋଗ ଦେବା ପରେ କ'ଣ ହୁଏ?
faq.items.3.a	FAQ	Pricing is still being shaped. Waitlist members will hear first when plans and timelines are ready.	ମୂଲ୍ୟ ଏ ପର୍ଯ୍ୟନ୍ତ ସ୍ଥିର ହୋଇ ନଥିଲା। ଯୋଗ ଦିଆ ସଦସ୍ୟ ପ୍ରଥମ ଜ ପାଇବେ।
faq.items.3.q	FAQ	Will E-talk be free?	ଇ-ଟକ୍ ମୁଫ ହେବ?
faq.subhead	FAQ	Straight answers about how E-talk fits your learning.	ଇ-ଟକ୍ ଆପଣଙ୍କ ଶିଖଣରେ କିପରି ଖାପ ଖାଏ, ତା ସ୍ପଷ୍ଟ ଉତ୍ତର।
features.heading	Features	Everything in one learning flow	ଏକ ଶିଖଣ ପ୍ରବାହରେ ସବୁ କିଛି
features.items.0.body	Features	Explanations and prompts that respect Odia speakers—so concepts land faster and you spend less time guessing.	ଓଡ଼ିଆ ଭାଷୀଙ୍କୁ ସମ୍ମାନ ଦେଉଥିବା ବ୍ୟାଖ୍ୟା—ଧାରଣା ଶୀଘ୍ର ସ୍ଥିର ହୁଏ, ଅନୁମାନ ଆଉ ଲାଗେ ନାହିଁ।
features.items.0.title	Features	Odia-friendly learning	ଓଡ଼ିଆ-ସହାୟ ଶିଖଣ
features.items.1.body	Features	Courses adjust to your level, goals, and pace—whether you are preparing for exams or workplace English.	ଆପଣଙ୍କ ସ୍ତର, ଲକ୍ଷ୍ୟ ଓ ଗତି ଅନୁଯାୟୀ ଅଭ୍ୟାସ ଢ଼ାଞ୍ଚା ବଦଳେ।
features.items.1.title	Features	AI paths that adapt to you	ଆପଣ ଅନୁଯାୟୀ AI ପଥ
features.items.2.body	Features	Ask questions, practise dialogues, and build speaking confidence with guided help in real time.	ପ୍ରଶ୍ନ ପଚାରନ୍ତୁ, ସଂଳାପ ଅଭ୍ୟାସ କରନ୍ତୁ, ସହାୟ ସ୍ୱରରେ ଆତ୍ମବିଶ୍ୱାସ ବଢ଼ାନ୍ତୁ।
features.items.2.title	Features	Live chat when you are stuck	ଅଟକି ଗଲେ ଲାଇଭ ଚ୍ୟାଟ
features.items.3.body	Features	Structured rehearsal, feedback loops, and real-world scenarios so you move from reading to confident conversation.	ସଂଗଠିତ ଅଭ୍ୟାସ, ଫିଡ୍‌ବ୍ୟାକ ଲୁପ, ଓ ଆସଲ ଦୁନିଆ ଦୃଶ୍ୟ—ପଢ଼ାରୁ ଆତ୍ମବିଶ୍ୱାସ ଭରା ବ୍ୟବହାର।
features.items.3.title	Features	Speaking practice that sticks	ଯାହା ମନ ଧରୁଥାଏ ତାହା ଅଭ୍ୟାସ
features.subhead	Features	Structured lessons, AI guidance, and live support—so you progress without switching between five different apps.	ସଂଗଠିତ ପାଠ, AI ନିର୍ଦ୍ଦେଶ, ଓ ଲାଇଭ ସହାୟତା—ପାଞ୍ଚଟି ଆଲଗ ଆପ ବ୍ୟବହାର ନ କରି ଏଗିଯାଅ।
footer.contact	Footer	Contact	ଯୋଗାଯୋଗ
footer.brandMarketingLine	Footer	Odia-first AI English learning — clear explanations, adaptive lessons, and confidence for exams, work, and daily life.	ଓଡ଼ିଆ-ପ୍ରଥମ AI ଇଂରାଜୀ ଶିଖଣ—ସ୍ପଷ୍ଟ ବ୍ୟାଖ୍ୟା, ଅଭିଯୋଜ୍ୟ ପାଠ ଓ ପରୀକ୍ଷା, କାର୍ଯ୍ୟ ଓ ଦୈନନ୍ଦିନ ଜୀବନ ପାଇଁ ଆତ୍ମବିଶ୍ୱାସ।
footer.copyright	Footer	© 2026 E-talk. Made with focus on Odisha.	© 2026 ଇ-ଟକ୍। ଓଡ଼ିଶା ଉପରେ ଧ୍ୟାନ ଦେଇ ତିଆରି।
footer.faq	Footer	FAQ	ସାଧାରଣ ପ୍ରଶ୍ନ
footer.follow	Footer	Follow us	ଅନୁସରଣ
footer.fromFounders	Footer	Sister venture from the founders	ପ୍ରତିଷ୍ଠାତାଙ୍କ ଅନ୍ୟ ଉଦ୍ୟମ
footer.talentsTrackerAria	Footer	Talent's Tracker — opens thetalentstracker.com in a new tab	Talent's Tracker — ନୂଆ ଟ୍ୟାବରେ thetalentstracker.com ଖୋଲିବ
footer.talentsTrackerName	Footer	Talent's Tracker	Talent's Tracker
footer.talentsTrackerTagline	Footer	A step towards Success	ସଫଳତା ଆଡ଼େ ଗୋଟିଏ ପଦକ୍ଷେପ
footer.team	Footer	Team	ଦଳ
footer.thanks	Footer	ଧନ୍ୟବାଦ · Thank you	ଧନ୍ୟବାଦ · Thank you
footer.waitlist	Footer	Waitlist	ପ୍ରତୀକ୍ଷା ତାଲିକା
hero.body	Hero	For students and professionals who want clear explanations, adaptive lessons, and real-time help—built with Odisha first, open to learners everywhere.	ଛାତ୍ର ଓ ବୃତ୍ତିଧାରୀଙ୍କ ପାଇଁ ଯେଉଁମାନେ ସ୍ପଷ୍ଟ ବ୍ୟାଖ୍ୟା, ଅଭିଯୋଜ୍ୟ ପାଠ ଓ ତୁରନ୍ତ ସହାୟତା ଚାହୁଁଛନ୍ତି—ଓଡ଼ିଶା ପ୍ରଥମ, ସର୍ବତ୍ର ଶିଖ୍ୟାର୍ଥୀଙ୍କ ପାଇଁ।
hero.eyebrow	Hero	Odia-friendly AI English learning	ଓଡ଼ିଆ-ସହାୟ AI ଇଂରାଜୀ ଶିଖଣ
hero.h1	Hero	Speak English confidently—with Odia context at every step	ଆତ୍ମବିଶ୍ୱାସରେ ଇଂରାଜୀ ବୋଲନ୍ତୁ—ପ୍ରତ୍ୟେକ ପଦକ୍ଷେପରେ ଓଡ଼ିଆ ସହଯୋଗ
hero.note	Hero	Free to join the waitlist · Launch updates only	ଯୋଗ ଦେବା ମୁଫ · କେବଳ ଲଞ୍ଚ ଅଦ୍ୟତନ
hero.odiaLine	Hero	ଓଡ଼ିଆ AI ଇଂରାଜୀ କହିବା ଆପ୍	ଓଡ଼ିଆ AI ଇଂରାଜୀ କହିବା ଆପ୍
hero.primaryCta	Hero	Join the waitlist	ପ୍ରତୀକ୍ଷା ତାଲିକାରେ ଯୋଗ ଦିଅନ୍ତୁ
hero.secondaryCta	Hero	See how it works	କିପରି କାମ କରେ ଦେଖନ୍ତୁ
hero.typewriter	Hero	Your voice and our AI—E-talk builds your learning journey, step by step.	ଆପଣଙ୍କ ସ୍ୱର ଓ ଆମ AI—ଇ-ଟକ୍ ଆପଣଙ୍କ ଶିଖଣ ଯାତ୍ରା ଗଢ଼ି ଉଠାଏ।
how.carousel.0.body	How it works	Instant feedback on pronunciation and fluency—clear, actionable tips so you sound more natural, faster.	ଉଚ୍ଚାରଣ ଓ ସ୍ୱାଦ ଉପରେ ତୁରନ୍ତ ମତ—ସ୍ପଷ୍ଟ ଟିପ୍ ଯାହା ଦ୍ୱାରା ଆପଣ ଆହୁରି ସ୍ୱାଭାବିକ ଶୁଣିବେ।
how.carousel.0.title	How it works	AI Speech Feedback	AI ସ୍ୱର ଫିଡ୍‌ବ୍ୟାକ
how.carousel.1.body	How it works	Your route adjusts to strengths and weak spots—spend time where you need it, skip what you already know.	ଶକ୍ତି ଓ ଦୁର୍ବଳ ଦିଗ ଅନୁଯାୟୀ ପଥ ବଦଳେ—ଯେଉଁଠି ଦରକାର ସେଠି ସମୟ, ଜାଣା ଜିନିଷ ଛାଡ଼ି ଯାଆନ୍ତୁ।
how.carousel.1.title	How it works	Adaptive Learning Pathways	ଅଭିଯୋଜ୍ୟ ଶିଖଣ ପଥ
how.carousel.2.body	How it works	Ready-made journeys for exams, interviews, email, and everyday English—structured, not random YouTube.	ପରୀକ୍ଷା, ସାକ୍ଷାତ, ଇ-ମେଲ, ଦୈନନ୍ଦିନ ଇଂରାଜୀ ପାଇଁ ପ୍ରସ୍ତୁତ ଯାତ୍ରା—ବ୍ୟବସ୍ଥିତ, ଅନିୟମିତ ଭିଡିଓ ନୁହେଁ।
how.carousel.2.title	How it works	Curated Lesson Paths	ଚୟନିତ ପାଠ ପଥ
how.carousel.3.body	How it works	Gamified nudges and streaks that fit school, work, and family—small wins that build real habit.	ଖେଳ ଭଳି ନିଅ ଓ ଷ୍ଟ୍ରିକ—ସ୍କୁଲ, ଅଫିସ, ଘର ସମୟ ସହ ମିଶିଯାଏ, ଅଭ୍ୟାସ ଗଢ଼େ।
how.carousel.3.title	How it works	Daily Challenges & Streaks	ଦୈନିକ ଚ୍ୟାଲେଞ୍ଜ ଓ ଷ୍ଟ୍ରିକ
how.carousel.4.body	How it works	Dashboards and milestones from first sentences to confident conversation—see proof you are improving.	ଡ୍ୟାସବୋର୍ଡ ଓ ମାଇଲ୍ ଷ୍ଟୋନ୍—ପ୍ରଥମ ବାକ୍ୟରୁ ଆତ୍ମବିଶ୍ୱାସ ଭରା କଥା ପର୍ଯ୍ୟନ୍ତ ପ୍ରମାଣ ଦେଖନ୍ତୁ।
how.carousel.4.title	How it works	Track Your Progress	ଆପଣଙ୍କ ପ୍ରଗତି ଦେଖନ୍ତୁ
how.carousel.5.body	How it works	About 15 minutes a day—micro-learning designed for busy learners in Odisha and beyond.	ପ୍ରାୟ ୧୫ ମିନିଟ୍ ଦିନକୁ—ବ୍ୟସ୍ତ ଛାତ୍ର ଓ ଚାକିରିଜୀବୀଙ୍କ ପାଇଁ ମାଇକ୍ରୋ ଶିଖଣ, ଓଡ଼ିଶା ଓ ବାହାରେ।
how.carousel.5.title	How it works	Bite-Sized Daily Lessons	ଛୋଟ ଦୈନିକ ପାଠ
how.carousel.6.body	How it works	Human-in-the-loop support when you are stuck—ask, rehearse, and get feedback in real time.	ଅଟକି ଗଲେ ତୁରନ୍ତ ସହାୟତା—ପଚାରନ୍ତୁ, ଅଭ୍ୟାସ କରନ୍ତୁ, ମାନବ ସହ ଫିଡ୍‌ବ୍ୟାକ୍ ପାଆନ୍ତୁ।
how.carousel.6.title	How it works	Live Chat & Coaching	ଲାଇଭ ଚ୍ୟାଟ ଓ କୋଚିଂ
how.carousel.7.body	How it works	Odia-friendly explanations when you need them; English practice when you are ready—no guesswork.	ନୂଆ ଧାରଣା ପାଇଁ ଓଡ଼ିଆ-ସହାୟ ବ୍ୟାଖ୍ୟା; ପ୍ରସ୍ତୁତ ହେଲେ ଇଂରାଜୀ ଅଭ୍ୟାସ—ଅନୁମାନ ନାହିଁ।
how.carousel.7.title	How it works	Odia-First, English-Forward	ଓଡ଼ିଆ ପ୍ରଥମ, ଇଂରାଜୀ ଆଗକୁ
how.carouselA11y	How it works	Product steps scroll in an infinite vertical reel inside a phone preview. Use Pause if you need motion to stop.	ପଦକ୍ଷେପଗୁଡ଼ିକ ଫୋନ୍ ଭିତରେ ଅନବରତ ଭାବେ ଉପରକୁ ଚାଲୁଛି। ଗତି ବନ୍ଦ ଦରକାର ହେଲେ ବିରତ ବଟନ ଦବାନ୍ତୁ।
how.carouselHint	How it works	Steps scroll automatically in the phone preview — hover the screen to pause, or use the Pause button.	ଫୋନ୍ ଭିତରେ ପଦକ୍ଷେପ ଆପେ ଚାଲେ—ସ୍କ୍ରିନ୍ ଉପରେ ହୋଭର୍ କରି ବିରତ କରନ୍ତୁ, ବା ବିରତ ବଟନ ବ୍ୟବହାର କରନ୍ତୁ।
how.carouselOdiaLine	How it works	ଓଡ଼ିଆରେ ବୁଝି · ଇଂରାଜୀରେ ଆଗକୁ ବଢ଼ନ୍ତୁ	ଓଡ଼ିଆରେ ବୁଝି · ଇଂରାଜୀରେ ଆଗକୁ ବଢ଼ନ୍ତୁ
how.carouselPause	How it works	Pause scrolling	ବିରତ
how.carouselResume	How it works	Resume scrolling	ପୁନଃ ଚାଲୁ
how.heading	How it works	How E-talk works	ଇ-ଟକ୍ କିପରି କାମ କରେ
how.subhead	How it works	Goal → contextual lessons → spoken practice—with AI and live chat at each step.	ଲକ୍ଷ୍ୟ → ପ୍ରସଙ୍ଗ ପାଠ → କଥ୍ୟ ଅଭ୍ୟାସ—ପ୍ରତ୍ୟେକ ପଦକ୍ଷେପରେ AI ଓ ଲାଇଭ ଚ୍ୟାଟ।
nav.cta	Navigation	Get early access	ଆଗୁଆ ଯୋଗ ଦିଅନ୍ତୁ
nav.faq	Navigation	FAQ	ସାଧାରଣ ପ୍ରଶ୍ନ
nav.features	Navigation	Features	ବୈଶିଷ୍ଟ୍ୟ
nav.howItWorks	Navigation	How it works	କିପରି କାମ କରେ
nav.team	Navigation	Team	ଦଳ
nav.whyEtalk	Navigation	Why E-talk	ଇ-ଟକ୍ ବିଷୟରେ
quote.caption	Quote	— E-talk team	— ଇ-ଟକ୍ ଦଳ
quote.heading	Quote	Built with learners, not just for them	ଶିଖ୍ୟାର୍ଥୀଙ୍କ ସହ, ଶୁଧୁ ସେମାନଙ୍କ ପାଇଁ ନୁହେଁ
quote.subhead	Quote	We are shaping E-talk alongside students and professionals in Odisha. Your waitlist feedback helps prioritise what ships first.	ଆମେ ଓଡ଼ିଶାର ଛାତ୍ର ଓ ବୃତ୍ତିଧାରୀଙ୍କ ସହ ଇ-ଟକ୍ ଗଢ଼ୁଛୁ। ଆପଣଙ୍କ ମତ ଆଗ ଲଞ୍ଚ ସ୍ଥିର କରିଥାଏ।
quote.text	Quote	Fluency is not memorising rules—it is feeling safe to speak. E-talk is designed around that idea: clear support in Odia when you need it, and real English practice when you are ready.	ଦକ୍ଷତା ନିୟମ ମୁଖସ୍ଥ ନୁହେଁ—ଏହା ବୋଲିବାରେ ନିରାପଦ ଅନୁଭବ। ଇ-ଟକ୍ ଏହି ଧାରଣା ଉପରେ ତିଆରି: ଦରକାର ଥିଲେ ଓଡ଼ିଆ ସ୍ପଷ୍ଟ ସହାୟତା, ଆଉ ପ୍ରସ୍ତୁତ ଥିଲେ ଇଂରାଜୀ ଅଭ୍ୟାସ।
team.heading	Team	Meet the co-founders	ସହ-ପ୍ରତିଷ୍ଠାତାଙ୍କୁ ଭେଟନ୍ତୁ
team.members.bikram.blurb	Team	Oversees internal systems, facilities, and administrative support that keep the organisation running smoothly.	ଆଭ୍ୟନ୍ତରୀଣ ବ୍ୟବସ୍ଥା, ଅବସ୍ଥାପନା ଓ ପ୍ରଶାସନିକ ସହାୟତା ଦେଖାନ୍ତି—ସଂସ୍ଥା ସ୍ଥିର ଓ ସୁଗମ ରହେ।
team.members.bikram.title	Team	Chief of Administration and Infrastructure	ପ୍ରଶାସନ ଓ ଅବସ୍ଥାପତ୍ୟ ପ୍ରମୁଖ
team.members.prasannjit.blurb	Team	Keeps programs, delivery, and day-to-day execution aligned so learners and partners get a dependable experience.	କାର୍ଯ୍ୟକ୍ରମ, ବିତରଣ ଓ ଦୈନନ୍ଦିନ କାର୍ଯ୍ୟ ସୁଚାରୁରୁପେ ଚାଲୁ ରଖନ୍ତି—ଶିଖ୍ୟାର୍ଥୀ ଓ ସାଥୀଙ୍କ ପାଇଁ ନିର୍ଭରଯୋଗ୍ୟ ଅଭିଜ୍ଞତା।
team.members.prasannjit.title	Team	Chief of Operations	ପରିଚାଳନା ପ୍ରମୁଖ (Chief of Operations)
team.members.rakesh.blurb	Team	Shapes the product experience and technical direction—from design craft to engineering and architecture.	ପ୍ରୋଡକ୍ଟ ଅଭିଜ୍ଞତା ଓ ପ୍ରଯୁକ୍ତି ଦିଗ ନିର୍ଦ୍ଧାରଣ—ଡିଜାଇନ୍ କୌଶଳରୁ ଇଞ୍ଜିନିୟରିଂ ଓ ଆର୍କିଟେକ୍ଚର୍ ପର୍ଯ୍ୟନ୍ତ।
team.members.rakesh.subtitle	Team	Chief of Technology	ପ୍ରଯୁକ୍ତି ବିଜ୍ଞାନ ପ୍ରମୁଖ (Chief of Technology)
team.members.rakesh.title	Team	Product design head	ପ୍ରୋଡକ୍ଟ ଡିଜାଇନ୍ ପ୍ରମୁଖ
team.role	Team	Co-founder	ସହ-ପ୍ରତିଷ୍ଠାତା
team.subhead	Team	A small team building E-talk from Odisha—with a shared focus on accessible, Odia-friendly English learning.	ଓଡ଼ିଶାରୁ ଇ-ଟକ୍ ଗଢ଼ୁଥିବା ଏକ ଛୋଟ ଦଳ—ସ୍ୱୀକାର୍ଯ୍ୟ ଓ ଓଡ଼ିଆ-ସହାୟ ଇଂରାଜୀ ଶିଖଣ ଉପରେ ଆଗ୍ରହ।
trust.col1Body	Trust strip	Product and pedagogy rooted in local language context—not a generic import.	ସ୍ଥାନୀୟ ଭାଷା ପ୍ରସଙ୍ଗରୁ ଉଦ୍ଭୂତ ଉତ୍ପାଦ ଓ ଶିକ୍ଷଣ ଶୈଳୀ—ସାଧାରଣ ଆମଦାନି ନୁହେଁ।
trust.col1Title	Trust strip	Odisha-first	ଓଡ଼ିଶା-ପ୍ରଥମ
